"ID","Name","Active users","Contacts","Number of appointments booked","Total Emails","Inbound Emails","Outbound Emails","Total Text messages","Inbound Text messages","Outbound Text messages","Total Calls","Inbound Calls","Outbound Calls","Inbound Call Duration (hours)","Outbound Call Duration (hours)","Form Submissions","Survey Submissions","Facebook Lead Form Submissions","GBP Messages","Inbound GBP Messages","Outbound GBP Messages","Total Instagram Messages","Inbound Instagram Messages","Outbound Instagram Messages","Total Facebook Messages","Inbound Facebook Messages","Outbound Facebook Messages","Reviews","Google Reviews","Facebook Reviews","Positive reviews","Negative reviews","Sites Created - Funnels","Sites Created - Websites","Sites Created - Forms","Sites Created - Surveys"
"UTIM9kZ1o5AhyaDeYCz9","""(DELETE) Oakville Chrysler Dodge Jeep Ram""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lo3qhbGEZNRLheKkQoiQ","""518 Auto Sales""",0,382,53,1569,55,1514,6750,2066,4684,34,34,0,"1.20","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"iKQr4rCT9bU4iPFDkmPy","""712 Auto Sales""",2,81,15,361,17,344,1280,360,920,12,4,8,"0.03","0.11",45,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0
"zI5vdUEjfYgyR8QqcAdQ","""715 Motor Haus""",2,0,0,6,0,6,53,10,43,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"heweDcsexBjRmPVJJGJg","""802 Honda""",10,77,5,158,5,153,549,145,404,0,0,0,"0.00","0.00",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i3ozGvNFhhNkw2INRLT4","""802 Subaru""",9,128,12,313,9,304,1174,328,846,1,1,0,"0.01","0.00",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I5OlttLOA3AHsUE2aITi","""9999 Auto Center """,0,2,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
"1FcsvylbzJ5Mb8erRJSM","""9999 Auto Center (A2P Failed)""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGr2noeM3XZjU6wkWffq","""A-Star Motors""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratauLKBzufRDdjGyMFk","""Addison Chevrolet Buick GMC""",4,15,1,55,3,52,105,14,91,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1oiGNPDcZEjX2KhITth","""Addison on Erin Mills""",4,46,7,116,6,110,664,168,496,1,1,0,"0.01","0.00",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMpZQGuqkAeXLfaS9uD","""Advantage Ag & Equipment, LLC""",2,17,0,70,1,69,271,80,191,0,0,0,"0.00","0.00",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ny7KPLPioDQeEa4gLD77","""All Nations Power Drive""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sN1TK8BvHWAQGkSTBAO5","""American Direct Auto LLC""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zxOftYWMDiU1szRSyEqa","""Applewood Nissan Surrey""",0,67,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"al5IXSq1y3pBsAHpi5Ua","""Auction Direct""",0,5,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ybMoKG4pJ9D8m70iQKiN","""Audi Cape Fear""",8,89,11,251,8,243,1649,618,1031,4,3,1,"0.11","0.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EXNeq12KxMpvy6hZzj5K","""Audi Richfield""",7,103,11,269,12,257,1106,271,835,1,0,1,"0.00","0.00",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RRzQGwC7sJXsuHeAXcWy","""Audi Valencia""",4,419,32,562,22,540,6763,1885,4878,120,120,0,"0.01","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tmD8t0Mo1y1BR9lZ23vp","""Auto Boutique""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2NvvHMUzn3OaTMVB9YUe","""Auto Capital USA""",6,104,10,341,5,336,1396,349,1047,9,7,2,"0.04","0.01",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Z8BYBP3xWhoucjsyiG93","""Auto Finance Center""",0,5,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,1,1,0,36,21,15,5,5,0,5,0,0,0,0,0
"kNZSw85pORytNAIs6t8O","""Auto Hut Sales""",2,25,3,39,0,39,284,97,187,8,2,6,"0.03","0.02",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aWPId9zR2ilasXdPbx4Y","""Auto Mall 59""",2,14,0,17,0,17,103,34,69,1,1,0,"0.00","0.00",2,0,0,0,0,0,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0
"X6xgVmZv1qI5hq1yVEHu","""Auto Palace""",0,327,0,0,0,0,4,4,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sw9hAxWBsDNtQfrSEYMm","""Auto Planet""",0,0,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vOofc4Ppo2O3zJdFdX1R","""Auto Planet Durham""",0,0,0,4,0,4,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SQwSOXtj0nH7XL1zKL1U","""AutoMaxx of Aberdeen""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DMT3SSLUzDUnbeqaqt7Q","""Automaxx of the Carolinas""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VV8YlH21kFyXfDLuGkfZ","""Autoplex""",19,3824,144,224,4,220,13119,3072,10047,2091,289,1802,"5.95","22.23",101,0,197,0,0,0,35,23,12,1850,886,964,0,0,0,0,0,0,0,0,0
"ntEdUjtiCfuKmzuNbupe","""Autoshow""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U1ZSFqsuRBaUrK5GJUGF","""Autoshow Winnipeg""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36GyvnX5XcEwqmXGNvLD","""Autova""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0B1IgrNcjUXUulEOj7mA","""Barnes Harley-Davidson Kamloops""",4,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jlsng0Xz6YE0tMWPikMv","""Barnes Harley-Davidson Langley""",10,11,3,287,13,274,877,175,702,1,1,0,"0.03","0.00",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"qVZSoVHKfmSkYEdTLG9n","""Barnes Harley-Davidson South Edmonton""",10,1,1,77,1,76,305,74,231,0,0,0,"0.00","0.00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d5yzaWHXah7ZOYjfFJg9","""Barnes Harley-Davidson Victoria""",5,0,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T0GtqbyyxcWXgaKDyKHX","""Barnes Powersports - Victoria""",7,0,0,25,1,24,37,8,29,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ia6SRHj51W3xgWqb4nBj","""Barnes Powersports Blackfoot""",4,0,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wdjkM3ecsH4pAY3FGxun","""Barrie Kia""",4,74,17,467,7,460,1724,428,1296,5,3,2,"0.07","0.00",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4RJRnJkfcK7EXN7yVZld","""Bay Area CDJR""",0,17,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l7VJqAfblcnAQ6KEbh4v","""Bay King Motors""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UkVnFs7cWywo5uAurPH7","""Big Rock Powersports and Marine""",0,1,0,0,0,0,1,0,1,1,1,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"qHt549oy0anFHAUXkwmD","""Bill Cramer GM""",11,182,18,484,6,478,2939,758,2181,13,13,0,"0.03","0.00",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3nywG6f6aHJ7VT7jF9De","""Blackmans Cycle""",2,10,1,7,0,7,68,29,39,0,0,0,"0.00","0.00",0,0,0,0,0,0,29,16,13,0,0,0,0,0,0,0,0,0,0,0,0
"CpIldgBSWTaxe67Jmfgq","""BMW of Akron""",7,96,11,303,14,289,920,218,702,3,3,0,"0.03","0.00",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hQwx6TZgDnrbHuA8q6Bq","""Bob Bell Chevrolet""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PxRzNtCShskeRbKqbLam","""Bonnyville Dodge""",1,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
